Source Code,Term Original,Value Set Name,Code System Name,Code System Version
720864008,Encephalopathy due to prosaposin deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
720940008,Hepatic lipase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
722762005,GM3 synthase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
723360007,Familial hypercholanemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
723452007,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, cataract syndrome","Dyslipidemia, All",SNOMED CT US Edition,20250901
723552005,Transient neonatal multiple acyl-coenzyme A dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
723579009,Tangier disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
724768005,Ataxia co-occurrent and due to cerebrotendinous xanthomatosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
724769002,Ataxia co-occurrent and due to phytanic acid storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
724770001,Ataxia co-occurrent and due to abetalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
72488000,"Niemann-Pick disease, type C, chronic form","Dyslipidemia, All",SNOMED CT US Edition,20250901
725286002,3-hydroxy-3-methylglutaryl-coenzyme A synthase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
725903003,Autosomal dominant myoglobinuria,"Dyslipidemia, All",SNOMED CT US Edition,20250901
726021008,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
